City,Host_NOC
London,GBR
Athina,GRE
Sydney,ANZ
Atlanta,USA
Rio de Janeiro,BRA
Beijing,CHN
Barcelona,ESP
Los Angeles,USA
Seoul,KOR
Munich,GER
Montreal,CAN
Mexico City,MEX
Helsinki,FIN
Roma,ITA
Tokyo,JPN
Moskva,RUS
Paris,FRA
Berlin,GER
Amsterdam,NED
Sochi,RUS
Melbourne,ANZ
Vancouver,CAN
Torino,ITA
Stockholm,SWE
Antwerpen,BEL
Salt Lake City,USA
Innsbruck,AUT
Nagano,JPN
Albertville,FRA
Lillehammer,NOR
Calgary,CAN
Sarajevo,BIH
Lake Placid,USA
Grenoble,FRA
Sankt Moritz,SWZ
Sapporo,JPN
Cortina d'Ampezzo,ITA
St. Louis,USA
Squaw Valley,USA
Oslo,NOR
Garmisch-Partenkirchen,GER
Chamonix,FRA